"Breed","BreedEntity","StrangerDirectedAggression","OwnerDirectedAggression","DogDirectedAggression","StrangerDirectedFear","DogDirectedFear","NonsocialFear","DogRivalry","Trainability","Chasing","AttachmentAttentionSeeking","SeparationRelatedBehavior","TouchSensitivity","Excitability","EnergyLevel"
"Greyhound","Entity[""DogBreed"", ""Greyhound""]",0,0.1666666667,0.6666666667,0,0.25,0,0.75,2.8333333333,2.5,0.6666666667,0,0,2.1666666667,1.5
"Shiba Inu","Entity[""DogBreed"", ""ShibaInu""]",0,0.625,"Missing[""NotAvailable""]",0.25,"Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.125,3.25,1.5,0.75,1.25,1.5,3
"Bouvier des Flandres","Entity[""DogBreed"", ""BouvierdesFlandres""]",1.2,0,1.75,0.5,0,0,"Missing[""NotAvailable""]",3,3,2.1666666667,0.25,0.25,2,3
"Bouvier des Flandres","Entity[""DogBreed"", ""BouvierdesFlandres""]",0.3,0,0.25,0,0.75,0.1666666667,0.25,2.25,1.25,1.6666666667,1,0.5,1,1
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",1.8,0.5,2,1.5,1.75,0.5,1.5,2,3.5,2.6666666667,0.75,0.5,3.3333333333,4
"American Pit Bull Terrier","Entity[""DogBreed"", ""AmericanPitBullTerrier""]",0,0,0,0,0.5,0,0,1.7142857143,0,1.8,0.375,"Missing[""NotAvailable""]",0.8333333333,0
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.2,0,0.25,0.25,0.25,0,"Missing[""NotAvailable""]",3.625,1,1.6666666667,0.125,0,1.1666666667,1.5
"Tibetan Terrier","Entity[""DogBreed"", ""TibetanTerrier""]",0.1,1.5,0.25,0,0,1.6666666667,0,2.75,0.75,0.8333333333,0.375,0.75,3.3333333333,3
"Maltese","Entity[""DogBreed"", ""Maltese""]",3.6,0.375,3.5,4,"Missing[""NotAvailable""]",4,0.5,1.25,"Missing[""NotAvailable""]",2.8333333333,4,4,4,2
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.1,0,2,0,0.25,0,1.25,2.625,3.25,2.1666666667,0,0.25,1.6666666667,1
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.3,0,0.25,0,0,0.4,0.25,2.375,0,1.5,0.5,0.6666666667,1.5,2
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0.6,0,0.6666666667,0,0.25,0.3333333333,0.75,3,0.75,2.1666666667,0.125,0,1.8333333333,3
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.8,1.25,1.5,1.25,0.5,1.1666666667,1.75,2.625,0.25,1.8333333333,0.25,1.25,2.1666666667,0
"Cocker Spaniel (English)","Entity[""DogBreed"", ""EnglishCockerSpaniel""]",0.6,1.125,0.5,0,0.25,0.3333333333,1,2,3.25,1,0.25,0.75,2,0
"Miniature Schnauzer","Entity[""DogBreed"", ""MiniatureSchnauzer""]",2.4,1.125,3,0.5,0.25,1.8333333333,2,2.4285714286,3.25,2.5,1,2.75,3.8333333333,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.7,0,0.5,0,0.25,0,0,3.375,2.5,2.1666666667,0,0,1.3333333333,0.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,1.5,0,2,0.3333333333,0.25,1.875,"Missing[""NotAvailable""]",3.1666666667,0,0.3333333333,3.6666666667,2
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.8888888889,0.8571428571,1.75,0,0.6666666667,1,"Missing[""NotAvailable""]",1.75,3,3,1.25,"Missing[""NotAvailable""]",3.6666666667,4
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0,0,0,0,0,0,0,3.5,0,1,0,0,0,2
"Pembroke Welsh Corgi","Entity[""DogBreed"", ""PembrokeWelshCorgi""]",0.1,0.125,0.25,0,0.25,0,0.25,2.1666666667,2.5,0.8333333333,0.25,0.25,0.6666666667,0
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,0,0,0.25,3.25,"Missing[""NotAvailable""]",1.1666666667,0.125,0.25,1,2.5
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0,0,2,0,0,0.5,0,2.125,4,3.6666666667,0.625,0.5,3,3
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0.6,0,0,0,0,0.3333333333,0,3.7142857143,0,1.3333333333,0,0,0.3333333333,2.5
"Boxer","Entity[""DogBreed"", ""Boxer""]",1,0,1.75,0,0,0.8333333333,0,3.4285714286,1.25,1.1666666667,0,0,0.8333333333,1
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.3,0,0.25,0,0,1,"Missing[""NotAvailable""]",2.625,0.75,2.8333333333,0,0.3333333333,2,3
"Great Dane","Entity[""DogBreed"", ""GreatDane""]",0,0,0,4,0.3333333333,3.3333333333,"Missing[""NotAvailable""]",0.4285714286,0,0,0.875,2.75,0,0
"Spanish Water Dog","Entity[""DogBreed"", ""SpanishWaterDog""]",0.8,0.25,"Missing[""NotAvailable""]",0.75,0,0.6,0.5,2.75,2.75,1.5,0.25,1.25,1.6666666667,1.5
"Spanish Water Dog","Entity[""DogBreed"", ""SpanishWaterDog""]",0.6,0.125,0.3333333333,0,0,0.3333333333,0.25,2.375,2.75,2.5,0.8571428571,0.75,2.5,1
"Chihuahua","Entity[""DogBreed"", ""Chihuahua""]",0,0,2.5,0.5,2.6666666667,0.8333333333,"Missing[""NotAvailable""]",1.875,2,2,0.125,0,2.3333333333,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]","Missing[""NotAvailable""]",1.125,0.6666666667,0,0.6666666667,2.6,"Missing[""NotAvailable""]",2.625,3.6666666667,2.8,1.8571428571,1.3333333333,2.5,2.5
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]",0.7,0.125,3,0,0,0.8333333333,"Missing[""NotAvailable""]",3.875,3.75,1,0.125,0,3,3
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]","Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",0.2,0.5,3,3.75,1.6666666667,0,0,1,2.5
"Treeing Walker Coonhound","Entity[""DogBreed"", ""TreeingWalkerCoonhound""]",0.8888888889,0,1.6666666667,0,0,0.1666666667,1.5,2.8571428571,3.25,1.6666666667,0.25,0.3333333333,1.8333333333,2
"Boxer","Entity[""DogBreed"", ""Boxer""]",0,0,0.5,0.25,0.75,0.5,0.5,2.375,0.75,0.5,0,1,2,1.5
"Boxer","Entity[""DogBreed"", ""Boxer""]",0.9,0.125,1,1,0.75,0.6666666667,0,1.875,3.5,2,0.375,0.75,3.8333333333,3
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]",0,0,0,0.25,0.25,1.6666666667,0,3.375,2,1.8333333333,0,1,1,2.5
"Rat Terrier","Entity[""DogBreed"", ""RatTerrier""]",0.6,0,0.25,1,0,1.6666666667,1,2,0.25,2.3333333333,1.125,1.5,2.8333333333,1.5
"Australian Shepherd","Entity[""DogBreed"", ""AustralianShepherd""]","Missing[""NotAvailable""]",0,0.25,0,0,0.1666666667,0.5,3.25,2,2.4,0,0,2,2.5
"Cairn Terrier","Entity[""DogBreed"", ""CairnTerrier""]",0,0.125,0,0,0,0.1666666667,0,1.75,0,0.6666666667,0.125,0.25,1.5,0.5
"Cairn Terrier","Entity[""DogBreed"", ""CairnTerrier""]",0,0,0.25,0,0,0,0,2.125,0.75,0.6666666667,0,0,1.1666666667,2
"Cairn Terrier","Entity[""DogBreed"", ""CairnTerrier""]",0,0,0.25,0,0.25,0.8333333333,0,2.125,1.25,1.2,0,0,1.1666666667,0.5
"Clumber Spaniel","Entity[""DogBreed"", ""ClumberSpaniel""]",0,0.875,0,1.25,0.6666666667,0.8333333333,"Missing[""NotAvailable""]",2.625,3.25,2.6,0.25,0.6666666667,3,2
"Cocker Spaniel (American)","Entity[""DogBreed"", ""CockerSpaniel""]",1.4,0.875,0.75,1.5,3,1.6666666667,2,2.625,3,1.5,1.125,1.25,2.6666666667,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,0,1,4,4,0,2.375,0.75,1.1666666667,0,2.5,0.1666666667,1
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0,0.125,0.25,0,0.5,0.5,0,2.875,1.25,2.2,0.5,0.5,0.8333333333,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0,2.25,0,0,0,0,3.125,1.75,2.8333333333,0,0.75,1.3333333333,2
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.1,0,0,0,0,0.1666666667,0.5,3.625,0,0.1666666667,0,0.25,0.8333333333,2
"Gordon Setter","Entity[""DogBreed"", ""GordonSetter""]",0.4,0,1,0,0.75,0.6666666667,2.5,1.5,2,1,0,0.5,2,2
"Gordon Setter","Entity[""DogBreed"", ""GordonSetter""]",0.5,0,0.5,0.25,0,0.1666666667,0.75,3.25,3,1.6666666667,0.25,0.25,2,2
"Gordon Setter","Entity[""DogBreed"", ""GordonSetter""]",0,0,0,0,0,0.3333333333,0,2.125,2.25,2.1666666667,0.25,0.5,2,2
"Gordon Setter","Entity[""DogBreed"", ""GordonSetter""]",0,0,0,0,0,0.1666666667,0,2.875,0,1.8333333333,1.75,0.25,2.1666666667,1.5
"Gordon Setter","Entity[""DogBreed"", ""GordonSetter""]",0.4,0,0.25,0,0.25,0.5,1.5,1.625,3,2.5,1.5,0.25,2.6666666667,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.2,0.125,0,0,0.25,0.1666666667,0,3.125,0,0.3333333333,0.375,0.25,1.3333333333,1
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",1,0,0,0.5,0,0,"Missing[""NotAvailable""]",2.75,1.25,1.3333333333,0.125,0,0.8333333333,0.5
"Poodle (Miniature)","Entity[""DogBreed"", ""MiniaturePoodle""]",0.625,0,"Missing[""NotAvailable""]",2,1.25,0.8333333333,0,2.375,3,1.6666666667,0,"Missing[""NotAvailable""]",2.4,2
"Beagle","Entity[""DogBreed"", ""Beagle""]",1.1,0.25,"Missing[""NotAvailable""]",0,0.3333333333,0.1666666667,"Missing[""NotAvailable""]",1.375,3.25,2.2,1.625,0.6666666667,2.8333333333,2
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",1.2,0,0.75,1,1,0,0,2.375,2.75,2.2,0,0,"Missing[""NotAvailable""]",3
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",1,0.375,0,1,0.3333333333,0.8333333333,"Missing[""NotAvailable""]",3,1.25,1.5,0,0.5,2.1666666667,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.5,0,2.25,1.75,2.25,1.3333333333,"Missing[""NotAvailable""]",2.5,1.5,2.3333333333,0.75,0.25,2.8,2.5
"English Setter","Entity[""DogBreed"", ""EnglishSetter""]",0,0,0,0.5,0,0,0,3.375,2.6666666667,0,0.125,"Missing[""NotAvailable""]",1.5,2.5
"Siberian Husky","Entity[""DogBreed"", ""SiberianHusky""]",0,0,0.6666666667,0,0.3333333333,0.3333333333,0.75,2.25,2.25,2,0.625,0.5,2.3333333333,3
"Fox Terrier (Toy)","Entity[""DogBreed"", ""ToyFoxTerrier""]",1.1,0.625,0.5,1.75,1,2,2,1.375,1,2.5,1.625,0.75,1.6666666667,2
"Basenji","Entity[""DogBreed"", ""Basenji""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]","Missing[""NotAvailable""]",1.25,2.75,1,"Missing[""NotAvailable""]",1.4285714286,4,1.3333333333,0,1.5,1.3333333333,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1,1,1,1,"Missing[""NotAvailable""]",0.8333333333,1,1.5,1.75,3,0.25,0.3333333333,4,2.5
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",0.2,0,0,0,0,0.1666666667,0,3.75,1.25,1.6666666667,0,0,0.1666666667,1.5
"Great Dane","Entity[""DogBreed"", ""GreatDane""]",0.4444444444,0,0.25,0,0.25,0.6666666667,0,3.5,0,2,0.375,0,1.6666666667,1
"Lagotto Romagnolo","Entity[""DogBreed"", ""LagottoRomagnolo""]",1,0,0,1,0,0,0,3.25,0.5,2.5,0.125,0,1.8333333333,2
"Portuguese Water Dog","Entity[""DogBreed"", ""PortugueseWaterDog""]",0.3,0,1.25,0,1,0.1666666667,0.25,3.625,2.25,2.3333333333,0,0.25,1.3333333333,3
"Mixed Breed/Unknown","Missing[""NotAvailable""]","Missing[""NotAvailable""]",0,0,0,0,0.4,"Missing[""NotAvailable""]",2,3,2.6666666667,1.25,0,1.1666666667,3
"Irish Setter","Entity[""DogBreed"", ""IrishSetter""]",0,0,0,0,0,0.3333333333,0,0.875,0.5,1.1666666667,0.125,0.25,0,0
"Irish Setter","Entity[""DogBreed"", ""IrishSetter""]",0,0,0,0,0,0.1666666667,0,2.625,1,1,0,0,0.5,0.5
"Irish Setter","Entity[""DogBreed"", ""IrishSetter""]",0.3,0,1,0,0,0,0,2.75,2.5,1.5,0,0,1,0.5
"Irish Setter","Entity[""DogBreed"", ""IrishSetter""]",0.2,0,0,0,0.3333333333,0.1666666667,0,2.75,2,1.1666666667,0,0,0.5,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.4,0,2,0,0.25,0.5,1.25,2,2.25,2.1666666667,0.25,1,2.5,1
"Mixed Breed/Unknown","Missing[""NotAvailable""]",1.2,0,1.5,2.5,0,1,0,1,2.75,1.1666666667,0,1.3333333333,1.6666666667,2
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.4,0,1.25,0.5,1.25,0,0.75,3,1.75,2,0.25,0.25,1.3333333333,2
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0.25,0,0.75,0.25,0.5,0.1666666667,0.5,3,2.25,1.6666666667,0.25,0,2,2.5
"English Setter","Entity[""DogBreed"", ""EnglishSetter""]",0,0,0,0,"Missing[""NotAvailable""]",0,0,3.75,0.5,0.5,0,0,0.8333333333,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.1,0,1,0,0,0,0,3.125,1.5,0.1666666667,0,0,1,1
"English Setter","Entity[""DogBreed"", ""EnglishSetter""]",0,0,0,0,0,0,0,2.375,0.5,1.1666666667,1.125,0,1.1666666667,2
"English Setter","Entity[""DogBreed"", ""EnglishSetter""]",0,0,0,1.5,0,0.5,0,3.25,1.5,0.8333333333,0,0.25,1.3333333333,2
"Collie","Entity[""DogBreed"", ""Collie""]",0,0,0,0,0.25,0.3333333333,0,"Missing[""NotAvailable""]",2.25,2.1666666667,0,0.25,2.8333333333,3.5
"Doberman Pinscher","Entity[""DogBreed"", ""DobermanPinscher""]",1,0.25,1.25,0.25,0.25,0.3333333333,0.75,2.625,3,1.8333333333,0.375,0.25,3,3
"Portuguese Water Dog","Entity[""DogBreed"", ""PortugueseWaterDog""]",0,0.25,0.25,0,0.5,0.5,"Missing[""NotAvailable""]",3.5,2.5,2.3333333333,0.5,1.75,2,3
"Cocker Spaniel (English)","Entity[""DogBreed"", ""EnglishCockerSpaniel""]",0,0,0.25,0,0.25,0,0,3,2.25,3.1666666667,0.2857142857,0,2.1666666667,2.5
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0.5,0,0.25,0,0.25,1.5,0.5,2.125,0.75,1.8333333333,0.625,0.5,2,0.5
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.3,0,1.75,0,0.5,0,2,3.125,"Missing[""NotAvailable""]",1.5,0,0,2.3333333333,1
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",1.2,0,0.5,1.75,0,0.3333333333,0,2.75,4,1.8333333333,0,0,3,1.5
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.7,0,0.5,0,0.25,0,0,3.75,3.5,2.8333333333,0,0,1.6666666667,0
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.4,0.125,1.5,0,0,0,"Missing[""NotAvailable""]",2.25,3,2.1666666667,0.375,0.25,2.5,3
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",1.3333333333,0.625,0.75,0.75,1.75,0.8333333333,"Missing[""NotAvailable""]",2.75,2.25,2.6666666667,0.5,1.75,2.5,2
"Airedale Terrier","Entity[""DogBreed"", ""AiredaleTerrier""]",0,0,0,0,0,0,0,3.125,2,1,0,0,1,1
"Mastiff (English)","Entity[""DogBreed"", ""Mastiff""]",0,0,0,3,2.25,2.4,0,2.25,1,1.8333333333,0.625,1.25,2.3333333333,2.5
"Pug","Entity[""DogBreed"", ""Pug""]",0,0,0,0,1,1.1666666667,0,2.125,0.75,2.3333333333,0,2.25,2.8333333333,1
"Bernese Mountain Dog","Entity[""DogBreed"", ""BerneseMountainDog""]",0,0,0.75,0,0,0.3333333333,0.75,2.25,0.75,1.5,0,0.25,2.8333333333,1.5
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",1.2,2,1.25,0,0,1.3333333333,2,2.25,1.5,1.6666666667,0.25,2.5,2.8333333333,1
"Kuvasz","Entity[""DogBreed"", ""Kuvasz""]",1.1111111111,0,2,2,2,0.3333333333,0,3,3.5,1.5,0,0.5,2.3333333333,0.5
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.9,0.1428571429,0.25,0.5,0.75,0,0.75,3.5,2.5,2.3333333333,0,1,3.6666666667,3
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0,0,0,0.25,0.5,1.6666666667,0,2.875,0,1.8333333333,0,1.25,2.5,3
"Border Collie","Entity[""DogBreed"", ""BorderCollie""]",0.3,0,0.25,0.75,0.5,1,0,3.375,1,1.1666666667,0,1,2.5,3
"Saint Bernard","Entity[""DogBreed"", ""SaintBernard""]",1,0,3.6666666667,0.25,0,0.5,0.25,1.625,4,2.6666666667,2,1,3.8333333333,4
"Brittany","Entity[""DogBreed"", ""Brittany""]",0.375,0,0,0.25,0.5,0.4,0,2.5,3,1.8333333333,0.75,1.25,1.6,2.5
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]","Missing[""NotAvailable""]",0,"Missing[""NotAvailable""]",3.5,2.3333333333,1.5,"Missing[""NotAvailable""]",2.375,4,2.4,1,1,4,4
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",3.3,0.875,2.25,0,0,0,1.75,2.125,4,2.6666666667,0,0,3.1666666667,4
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0,0,0.5,0,0.5,0,0.5,3.125,1.75,2.8333333333,0,0.25,2,4
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",1,0,2.5,1.5,3.25,2,0.25,3.875,2.5,4,0.25,0,2.8333333333,3
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.8,0.75,3,0,0,0,4,2.625,4,0.5,0.375,0,3.5,1
"American Staffordshire Terrier","Entity[""DogBreed"", ""AmericanStaffordshireTerrier""]",1.6666666667,0,3,"Missing[""NotAvailable""]",0,2.8,0.5,2.5714285714,1.75,2,0.875,1,3,1
"English Springer Spaniel","Entity[""DogBreed"", ""EnglishSpringerSpaniel""]",0.5,0.125,0.25,0.25,0,0.5,1.5,2.5,2.25,0.3333333333,0.125,0.25,1.5,0.5
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",1.1,0.125,1,0.5,0.75,0.6666666667,0.75,2.75,1.25,1.6666666667,0,0.5,1.5,1.5
"Rottweiler","Entity[""DogBreed"", ""Rottweiler""]",0.7,0,0,1.25,0.25,0.3333333333,1.25,3.25,1.25,2.3333333333,0.125,1,1.8333333333,2.5
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0.7,0,0.25,0,0,0,0.75,2.75,2.25,1.5,0.125,0.5,2.3333333333,2.5
"Siberian Husky","Entity[""DogBreed"", ""SiberianHusky""]",0,0,0,0,0,0,0.5,2.625,3.5,2,0.625,0,2,3
"Shetland Sheepdog","Entity[""DogBreed"", ""ShetlandSheepdog""]",0,0,0,0.25,1,0.6666666667,0,3,0,1.8333333333,0,0,0.6666666667,1.5
"Golden Retriever","Entity[""DogBreed"", ""GoldenRetriever""]",0,0,0,0.5,0,0,0,2,0,0.8333333333,0,0,2,0
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,3.25,0.5,3.75,1,0.5,2.5,1,1.8333333333,0.625,1.25,2,2.5
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0,0,0,1.75,0,4,0,2.625,1.5,3.1666666667,0.75,1.25,2.1666666667,2.5
"Tibetan Terrier","Entity[""DogBreed"", ""TibetanTerrier""]",0.3,0.125,1.75,0,1.75,0.1666666667,2,2.375,1.3333333333,3,1.25,0,1.8333333333,0.5
"Tibetan Terrier","Entity[""DogBreed"", ""TibetanTerrier""]",0.2,0,0,0,0.5,0.6666666667,0,2.125,"Missing[""NotAvailable""]",1,0.625,0.5,0.8333333333,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,0,1.5,1.5,0.6666666667,"Missing[""NotAvailable""]",2.75,1.5,1.8333333333,1.625,2,3.5,2
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",0,0,0,0,0,0,1.5,3.75,2.25,1,0,0,2,3
"German Shepherd","Entity[""DogBreed"", ""GermanShepherdDog""]",1.2,0,1.25,0,0,0,1.5,2.75,3,1.6666666667,0,0,3,3
"Rhodesian Ridgeback","Entity[""DogBreed"", ""RhodesianRidgeback""]",0.2,0,0,0.5,0,0,0,2,3,0.3333333333,0.25,0,1.6666666667,1.5
"Pembroke Welsh Corgi","Entity[""DogBreed"", ""PembrokeWelshCorgi""]",0,0.875,0,0,0.25,0,1,2.375,0.5,2,0.875,0.5,2.6666666667,2.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0.4,0,1,0,0.75,0,0.25,2.75,1.5,0.6666666667,0,0.25,2.6666666667,3
"Portuguese Water Dog","Entity[""DogBreed"", ""PortugueseWaterDog""]",0,0,0,0.25,0.25,0.1666666667,0,2.75,2,1.1666666667,0,1,1.8333333333,3
"Poodle (Standard)","Entity[""DogBreed"", ""StandardPoodle""]",0.125,0,0,1,0.25,0,"Missing[""NotAvailable""]",3.4285714286,1.75,1.5,0.5,0.3333333333,0.8333333333,2
"Whippet","Entity[""DogBreed"", ""Whippet""]",0,0,1.25,0.5,1.25,0.6666666667,0,2.5,2.75,1.1666666667,0,0.25,0.8333333333,1
"Whippet","Entity[""DogBreed"", ""Whippet""]",0,0,0,0.25,0,0.3333333333,0,2.625,3,2.1666666667,0,0,0.8333333333,1
"Soft Coated Wheaten Terrier","Entity[""DogBreed"", ""SoftCoatedWheatenTerrier""]",1.5555555556,0.125,2.75,0,3.3333333333,"Missing[""NotAvailable""]","Missing[""NotAvailable""]",2.75,4,2.4,0.8571428571,0.6666666667,1.8333333333,4
"Basset Hound","Entity[""DogBreed"", ""BassetHound""]",0.3,1.75,1,0,1.25,0.3333333333,1.6666666667,2.125,2.25,2.1666666667,0.875,2,2.1666666667,0.5
"Labrador Retriever","Entity[""DogBreed"", ""LabradorRetriever""]",0,0,0,0,1.75,0.1666666667,0.25,2,2.75,3.6666666667,1.25,0,1.1666666667,1
"Havanese","Entity[""DogBreed"", ""Havanese""]",0.2,0,0,0,0,0.6666666667,"Missing[""NotAvailable""]",2.375,2.5,2,0,"Missing[""NotAvailable""]",2,0
"Afghan Hound","Entity[""DogBreed"", ""AfghanHound""]",0.3,0.125,1,0,0.75,0.1666666667,0.5,2.625,4,1.8333333333,0.75,2.25,3.1666666667,2.5
"Gordon Setter","Entity[""DogBreed"", ""GordonSetter""]",0.3,0.25,1,0,0,0.8333333333,0.5,2.625,1.5,2,0,0,1.3333333333,3
"Bichon Frise","Entity[""DogBreed"", ""BichonFrise""]",1.9,0,1.25,2,1,1.5,0,2.5,1.6666666667,2.3333333333,0.375,0.75,2.5,0.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.8,0,3,4,0.5,1.5,1.25,2,1.25,2.6666666667,1.375,0.75,2.3333333333,0.5
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0.5,0,1.5,1,1,1.8333333333,1.25,3,1.75,2.5,0.875,0.75,2.5,0.5
"Great Dane","Entity[""DogBreed"", ""GreatDane""]",1.7,0.125,2,1.5,2.5,1.1666666667,1,1.625,2.25,2.5,0.875,0.5,3,2
"Mixed Breed/Unknown","Missing[""NotAvailable""]",0,0.125,0,0.25,0,0.3333333333,"Missing[""NotAvailable""]",2.625,1.75,1.3333333333,0.25,0,2.5,3
"Jack Russell Terrier","Entity[""DogBreed"", ""JackRussellTerrier""]",0,0,0.5,0,0.25,1.4,"Missing[""NotAvailable""]",3,1.75,2,1,0,2.1666666667,2
"Australian Cattle Dog","Entity[""DogBreed"", ""AustralianCattleDog""]","Missing[""NotAvailable""]",0,0,0,0,0,"Missing[""NotAvailable""]",3.375,"Missing[""NotAvailable""]",1.8333333333,0.375,0,2.3333333333,4
